home,Host,Home_Goals,Host_Golas,FirstPart,SecondPart,ThirthPart,Prodlouzeni,Najezdy,Date,Home_P1,Home_P2,Home_P3,Host_P1,Host_P2,Host_P3
Edmonton Oilers,Colorado Avalanche,1,2,0|0,0|0,1|1,0|0,0|1,10.04. 04:00Po náj.,0,0,1,0,0,1
Vancouver Canucks,San Jose Sharks,4,2,1|1,1|1,2|0,,,10.04. 04:00,1,1,2,1,1,0
Vegas Golden Knights,Arizona Coyotes,6,1,2|1,1|0,3|0,,,10.04. 04:00,2,1,3,1,0,0
St. Louis Blues,New York Islanders,6,1,2|0,4|1,0|0,,,10.04. 02:00,2,4,0,0,1,0
Philadelphia Flyers,Anaheim Ducks,3,5,2|0,0|3,1|2,,,10.04. 01:30,2,0,1,0,3,2
Detroit Red Wings,Columbus Blue Jackets,4,5,0|1,2|1,2|2,0|1,,10.04. 01:00Po prodl.,0,2,2,1,1,2
New York Rangers,Ottawa Senators,5,1,1|1,3|0,1|0,,,10.04. 01:00,1,3,1,1,0,0
Seattle Kraken,Calgary Flames,1,4,1|2,0|1,0|1,,,10.04. 01:00,1,0,0,2,1,1
Toronto Maple Leafs,Montreal Canadiens,3,2,2|0,1|2,0|0,,,10.04. 01:00,2,1,0,0,2,0
Nashville Predators,Florida Panthers,1,4,1|1,0|1,0|2,,,10.04. 00:00,1,0,0,1,1,2
Pittsburgh Penguins,Washington Capitals,3,6,3|2,0|1,0|3,,,09.04. 21:00,3,0,0,2,1,3
Dallas Stars,New Jersey Devils,1,3,0|0,1|0,0|3,,,09.04. 20:00,0,1,0,0,0,3
St. Louis Blues,Minnesota Wild,4,3,1|1,0|1,2|1,1|0,,09.04. 02:00Po prodl.,1,0,2,1,1,1
Winnipeg Jets,Colorado Avalanche,4,5,2|1,0|2,2|1,0|1,,09.04. 02:00Po prodl.,2,0,2,1,2,1
Carolina Hurricanes,New York Islanders,1,2,0|0,0|1,1|1,,,09.04. 01:00,0,0,1,0,1,1
Florida Panthers,Buffalo Sabres,4,3,1|3,2|0,1|0,,,09.04. 01:00,1,2,1,3,0,0
Tampa Bay Lightning,Boston Bruins,1,2,0|0,1|1,0|0,0|1,,09.04. 01:00Po prodl.,0,1,0,0,1,0
Los Angeles Kings,Edmonton Oilers,2,3,0|1,1|1,1|1,,,08.04. 04:30,0,1,1,1,1,1
San Jose Sharks,Calgary Flames,2,4,1|2,0|1,1|1,,,08.04. 04:30,1,0,1,2,1,1
Arizona Coyotes,Vancouver Canucks,1,5,0|1,1|3,0|1,,,08.04. 04:00,0,1,0,1,3,1
Dallas Stars,Toronto Maple Leafs,3,4,1|1,0|1,2|1,0|1,,08.04. 02:30Po prodl.,1,0,2,1,1,1
Chicago Blackhawks,Seattle Kraken,0,2,0|0,0|1,0|1,,,08.04. 02:30,0,0,0,0,1,1
Carolina Hurricanes,Buffalo Sabres,5,3,0|2,2|1,3|0,,,08.04. 01:30,0,2,3,2,1,0
Columbus Blue Jackets,Philadelphia Flyers,1,4,1|0,0|3,0|1,,,08.04. 01:00,1,0,0,0,3,1
New Jersey Devils,Montreal Canadiens,4,7,1|3,1|1,2|3,,,08.04. 01:00,1,1,2,3,1,3
New York Rangers,Pittsburgh Penguins,3,0,0|0,2|0,1|0,,,08.04. 01:00,0,2,1,0,0,0
Ottawa Senators,Nashville Predators,2,3,0|1,1|0,1|2,,,08.04. 01:00,0,1,1,1,0,2
Anaheim Ducks,Calgary Flames,2,4,0|1,1|1,1|2,,,07.04. 04:00,0,1,1,1,1,2
Vegas Golden Knights,Vancouver Canucks,1,5,1|2,0|2,0|1,,,07.04. 04:00,1,0,0,2,2,1
St. Louis Blues,Seattle Kraken,4,1,1|0,1|1,2|0,,,07.04. 02:00,1,1,2,0,1,0
Washington Capitals,Tampa Bay Lightning,4,3,3|2,1|0,0|1,,,07.04. 01:30,3,1,0,2,0,1
Winnipeg Jets,Detroit Red Wings,1,3,0|1,1|0,0|2,,,07.04. 01:30,0,1,0,1,0,2
San Jose Sharks,Edmonton Oilers,1,2,1|0,0|0,0|1,0|1,,06.04. 04:30Po prodl.,1,0,0,0,0,1
Dallas Stars,New York Islanders,3,2,2|1,1|1,0|0,,,06.04. 02:30,2,1,0,1,1,0
Nashville Predators,Minnesota Wild,6,2,3|1,1|1,2|0,,,06.04. 02:00,3,1,2,1,1,0
Detroit Red Wings,Boston Bruins,5,3,1|2,2|0,2|1,,,06.04. 01:30,1,2,2,2,0,1
Buffalo Sabres,Carolina Hurricanes,4,2,0|1,2|0,2|1,,,06.04. 01:00,0,2,2,1,0,1
Florida Panthers,Toronto Maple Leafs,7,6,1|1,3|4,2|1,1|0,,06.04. 01:00Po prodl.,1,3,2,1,4,1
Montreal Canadiens,Ottawa Senators,3,6,1|1,2|2,0|3,,,06.04. 01:00,1,2,0,1,2,3
New Jersey Devils,New York Rangers,1,3,1|2,0|0,0|1,,,06.04. 01:00,1,0,0,2,0,1
Philadelphia Flyers,Columbus Blue Jackets,2,4,1|2,1|0,0|2,,,06.04. 01:00,1,1,0,2,0,2
Pittsburgh Penguins,Colorado Avalanche,4,6,1|1,1|2,2|3,,,06.04. 01:00,1,1,2,1,2,3
Los Angeles Kings,Calgary Flames,2,3,2|1,0|2,0|0,,,05.04. 04:30,2,0,0,1,2,0
St. Louis Blues,Arizona Coyotes,5,1,0|0,4|0,1|1,,,05.04. 02:00,0,4,1,0,0,1
Tampa Bay Lightning,Toronto Maple Leafs,2,6,1|1,1|3,0|2,,,05.04. 01:30,1,1,0,1,3,2
Columbus Blue Jackets,Boston Bruins,2,3,1|1,1|1,0|0,0|1,,05.04. 01:00Po prodl.,1,1,0,1,1,0
Seattle Kraken,Dallas Stars,4,1,1|0,0|0,3|1,,,04.04. 03:00,1,0,3,0,0,1
Anaheim Ducks,Edmonton Oilers,1,6,0|3,0|1,1|2,,,04.04. 02:00,0,0,1,3,1,2
Chicago Blackhawks,Arizona Coyotes,2,3,1|0,0|2,1|0,0|1,,04.04. 01:00Po prodl.,1,0,1,0,2,0
