home,Host,Home_Goals,Host_Golas,FirstPart,SecondPart,ThirthPart,Prodlouzeni,Najezdy,Date,Home_P1,Home_P2,Home_P3,Host_P1,Host_P2,Host_P3
Nashville Predators,Florida Panthers,1,4,1|1,0|1,0|2,,,,1,0,0,1,1,2
Detroit Red Wings,Columbus Blue Jackets,4,5,0|1,2|1,2|2,0|1,,,0,2,2,1,1,2
New York Rangers,Ottawa Senators,5,1,1|1,3|0,1|0,,,,1,3,1,1,0,0
Seattle Kraken,Calgary Flames,1,4,1|2,0|1,0|1,,,,1,0,0,2,1,1
Toronto Maple Leafs,Montreal Canadiens,3,2,2|0,1|2,0|0,,,,2,1,0,0,2,0
Philadelphia Flyers,Anaheim Ducks,3,5,2|0,0|3,1|2,,,,2,0,1,0,3,2
St. Louis Blues,New York Islanders,6,1,2|0,4|1,0|0,,,,2,4,0,0,1,0
Edmonton Oilers,Colorado Avalanche,1,2,0|0,0|0,1|1,0|0,0|1,,0,0,1,0,0,1
Vancouver Canucks,San Jose Sharks,4,2,1|1,1|1,2|0,,,,1,1,2,1,1,0
Vegas Golden Knights,Arizona Coyotes,6,1,2|1,1|0,3|0,,,,2,1,3,1,0,0
Washington Capitals,Boston Bruins,-,-,,,,,,19:30,,,,,,
Pittsburgh Penguins,Nashville Predators,-,-,,,,,,22:00,,,,,,
Minnesota Wild,Los Angeles Kings,-,-,,,,,,23:00,,,,,,
Tampa Bay Lightning,Buffalo Sabres,-,-,,,,,,23:00,,,,,,
Pittsburgh Penguins,Washington Capitals,3,6,3|2,0|1,0|3,,,09.04. 21:00,3,0,0,2,1,3
Dallas Stars,New Jersey Devils,1,3,0|0,1|0,0|3,,,09.04. 20:00,0,1,0,0,0,3
St. Louis Blues,Minnesota Wild,4,3,1|1,0|1,2|1,1|0,,09.04. 02:00Po prodl.,1,0,2,1,1,1
Winnipeg Jets,Colorado Avalanche,4,5,2|1,0|2,2|1,0|1,,09.04. 02:00Po prodl.,2,0,2,1,2,1
Carolina Hurricanes,New York Islanders,1,2,0|0,0|1,1|1,,,09.04. 01:00,0,0,1,0,1,1
Florida Panthers,Buffalo Sabres,4,3,1|3,2|0,1|0,,,09.04. 01:00,1,2,1,3,0,0
Tampa Bay Lightning,Boston Bruins,1,2,0|0,1|1,0|0,0|1,,09.04. 01:00Po prodl.,0,1,0,0,1,0
Los Angeles Kings,Edmonton Oilers,2,3,0|1,1|1,1|1,,,08.04. 04:30,0,1,1,1,1,1
San Jose Sharks,Calgary Flames,2,4,1|2,0|1,1|1,,,08.04. 04:30,1,0,1,2,1,1
Arizona Coyotes,Vancouver Canucks,1,5,0|1,1|3,0|1,,,08.04. 04:00,0,1,0,1,3,1
Dallas Stars,Toronto Maple Leafs,3,4,1|1,0|1,2|1,0|1,,08.04. 02:30Po prodl.,1,0,2,1,1,1
Chicago Blackhawks,Seattle Kraken,0,2,0|0,0|1,0|1,,,08.04. 02:30,0,0,0,0,1,1
Carolina Hurricanes,Buffalo Sabres,5,3,0|2,2|1,3|0,,,08.04. 01:30,0,2,3,2,1,0
Columbus Blue Jackets,Philadelphia Flyers,1,4,1|0,0|3,0|1,,,08.04. 01:00,1,0,0,0,3,1
New Jersey Devils,Montreal Canadiens,4,7,1|3,1|1,2|3,,,08.04. 01:00,1,1,2,3,1,3
New York Rangers,Pittsburgh Penguins,3,0,0|0,2|0,1|0,,,08.04. 01:00,0,2,1,0,0,0
Ottawa Senators,Nashville Predators,2,3,0|1,1|0,1|2,,,08.04. 01:00,0,1,1,1,0,2
Carolina Hurricanes,Anaheim Ducks,-,-,,,,,,11.04. 00:00,,,,,,
Chicago Blackhawks,Dallas Stars,-,-,,,,,,11.04. 01:00,,,,,,
Ottawa Senators,Winnipeg Jets,-,-,,,,,,11.04. 01:30,,,,,,
Montreal Canadiens,Winnipeg Jets,-,-,,,,,,12.04. 01:00,,,,,,
Boston Bruins,St. Louis Blues,-,-,,,,,,13.04. 01:00,,,,,,
Florida Panthers,Anaheim Ducks,-,-,,,,,,13.04. 01:00,,,,,,
New York Rangers,Carolina Hurricanes,-,-,,,,,,13.04. 01:00,,,,,,
Toronto Maple Leafs,Buffalo Sabres,-,-,,,,,,13.04. 01:00,,,,,,
Washington Capitals,Philadelphia Flyers,-,-,,,,,,13.04. 01:00,,,,,,
Detroit Red Wings,Ottawa Senators,-,-,,,,,,13.04. 01:30,,,,,,
New York Islanders,Pittsburgh Penguins,-,-,,,,,,13.04. 01:30,,,,,,
Minnesota Wild,Edmonton Oilers,-,-,,,,,,13.04. 02:00,,,,,,
Nashville Predators,San Jose Sharks,-,-,,,,,,13.04. 02:00,,,,,,
Chicago Blackhawks,Los Angeles Kings,-,-,,,,,,13.04. 02:30,,,,,,
Calgary Flames,Seattle Kraken,-,-,,,,,,13.04. 03:00,,,,,,
Dallas Stars,Tampa Bay Lightning,-,-,,,,,,13.04. 03:30,,,,,,
Arizona Coyotes,New Jersey Devils,-,-,,,,,,13.04. 04:00,,,,,,
Vancouver Canucks,Vegas Golden Knights,-,-,,,,,,13.04. 04:00,,,,,,
